Titre,Prix,Ville,CT match,URL
Renault Twingo 2 2010 116.000km certifié,2900.0 €,La Courneuve,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155289142
Citroën C4,2790.0 €,Auch,CT OK,https://www.leboncoin.fr/ad/voitures/3155286345
C3 1.4 hdi,2000.0 €,Élancourt,CT -6 mois,https://www.leboncoin.fr/ad/voitures/3155284964
Opel Meriva 1.7 CDTI,3000.0 €,Roubaix,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155279229
XSARA PICASSO Diesel 1.6 HDI 110cv Attelage,2500.0 €,Marseille,CONTROLE TECHNIQUE OK,https://www.leboncoin.fr/ad/voitures/3155275582
Peugeot 107 essence 1.0l,2800.0 €,Lille,ct ok,https://www.leboncoin.fr/ad/voitures/3155275287
Peugeot 206+ 1.1 75ch,1990.0 €,Vendôme,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155116792
Citroen C4 1.4 16 S Crit'Air 2,2750.0 €,Toussaint,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155273344
Clio 2 1.2 58cv CT -6 mois,1800.0 €,Rouen,CT -6 mois,https://www.leboncoin.fr/ad/voitures/3155271400
Peugeot 208 à vendre,2000.0 €,Gonesse,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155270622
Peugeot 207 1.4e 16v 90 ch,2990.0 €,Dreux,CT,https://www.leboncoin.fr/ad/voitures/3155270067
Citroën C4 2.0 i 16V 140CV exclusive 180 000km,2800.0 €,Incarville,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155269952
"Anne 2008,cg à mon nom ,ct moins des 6 mois,160000km ,climatisé,Navigation,4xvitres électriques,distri neuf ,plaquettes neuf,à débattre devant la voiture",2999.0 €,Balma,ct,https://www.leboncoin.fr/ad/voitures/3155267246
"Fiat 500 1,2 lounge",1900.0 €,Planzolles,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155267038
Peugeot 306,1500.0 €,Sainte-Geneviève-des-Bois,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155266925
🚘 Suzuki Alto – 2012 – Très bon suivi mécanique – 2 500,2500.0 €,Avignon,contrôle technique valide,https://www.leboncoin.fr/ad/voitures/3155265487
Twingo phase 2 aucun frais à prévoir,2200.0 €,Saint-Parres-aux-Tertres,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155259345
Citroen c2,2800.0 €,Lunéville,Ct ok,https://www.leboncoin.fr/ad/voitures/3155265087
Citroën c1,2600.0 €,Annecy,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155263680
Peugeot 206+,2650.0 €,Strasbourg,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155261198
Opel meriva 1.8,1700.0 €,Saint-Galmier,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155260373
Volkswagen Polo 3 - 2000,2500.0 €,Chaumontel,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155121587
Citroën c3,2550.0 €,Romans-sur-Isère,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155258790
Peugeot 207 1.6 HDi 90 ch CT OK,2300.0 €,Metz,CT OK,https://www.leboncoin.fr/ad/voitures/3155257442
Renault clio 2 Campus essence / gpl,1900.0 €,Guyancourt,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155256963
Seat cordoba 2009 1.4 essence 85ch,3000.0 €,Terville,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155254207
MAZDA 2 de 2006,2500.0 €,Fayence,CT,https://www.leboncoin.fr/ad/voitures/3155251630
C3 pluriel décapotable,1950.0 €,Grézieu-la-Varenne,CT OK,https://www.leboncoin.fr/ad/voitures/3155252468
Renault Clio 2 1.2i,2300.0 €,Hésingue,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155250772
Fiat idea,2200.0 €,Soissons,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155251051
"BMW E46 320 D Pack M

Embrayage neuf 
4 pneus neuf 
Train avant neuf 
Ressort neuf 
Ciel neuf 
Silencieux neuf 
Ect 
Plus de 6000 en moins de 6 mois",2000.0 €,Grenoble,CT,https://www.leboncoin.fr/ad/voitures/3155250139
"Je vends Citroën Saxo 1.5D version société (2 places), année 2001",1500.0 €,Caumont-sur-Aure,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155250054
Ford Fiesta,2000.0 €,Toulouse,CT,https://www.leboncoin.fr/ad/voitures/3155247990
Renault Laguna 2 phase 2 v6,2800.0 €,Le Havre,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155242809
Clio 2 essence,3000.0 €,Saint-Claude-de-Diray,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155244826
Nissan Micra,2100.0 €,Louvres,CT OK,https://www.leboncoin.fr/ad/voitures/3155244448
Vends VW NEW BEETLE 2004,2000.0 €,Toulouse,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155016243
Renault scenic,2500.0 €,Thionville,Ct ok,https://www.leboncoin.fr/ad/voitures/3155240739
Twingo 2,2650.0 €,Saint-Victor-de-Morestel,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155239786
